date,description,amount,category
2024-01-01,Starbucks Coffee,-5.50,food
2024-01-02,Whole Foods Market,-45.20,food
2024-01-03,Shell Gas Station,-35.00,transport
2024-01-04,Electric Bill,-120.00,utilities
2024-01-05,Netflix,-15.99,entertainment
2024-01-06,CVS Pharmacy,-12.30,health
2024-01-07,McDonald's,-8.75,food
2024-01-08,Uber Ride,-15.20,transport
2024-01-09,Amazon Prime,-14.99,entertainment
2024-01-10,Walgreens,-25.50,health
2024-01-11,Trader Joe's,-67.80,food
2024-01-12,Bus Pass,-50.00,transport
2024-01-13,Spotify,-9.99,entertainment
2024-01-14,Dentist Visit,-150.00,health
2024-01-15,Pizza Hut,-22.50,food
2024-01-16,Taxi,-18.00,transport
2024-01-17,Movie Theater,-25.00,entertainment
2024-01-18,Grocery Store,-89.30,food
2024-01-19,Car Insurance,-200.00,transport
2024-01-20,Internet Bill,-60.00,utilities
2024-01-21,Concert Tickets,-75.00,entertainment
2024-01-22,Pharmacy,-10.00,health
2024-01-23,Coffee Shop,-4.50,food
2024-01-24,Gas Station,-40.00,transport
2024-01-25,Streaming Service,-12.99,entertainment
2024-01-26,Doctor Visit,-100.00,health
2024-01-27,Restaurant,-35.20,food
2024-01-28,Parking,-10.00,transport
2024-01-29,Bookstore,-20.00,entertainment
2024-01-30,Gym Membership,-50.00,health
2024-02-01,Chipotle,-12.50,food
2024-02-02,Train Ticket,-25.00,transport
2024-02-03,HBO Max,-14.99,entertainment
2024-02-04,Eye Exam,-80.00,health
2024-02-05,Target,-55.30,food
2024-02-06,Uber Eats,-18.75,food
2024-02-07,Car Wash,-15.00,transport
2024-02-08,Disney+,-7.99,entertainment
2024-02-09,Vitamin Shop,-30.00,health
2024-02-10,Costco,-120.50,food
2024-02-11,Fuel,-45.00,transport
2024-02-12,Water Bill,-40.00,utilities
2024-02-13,Game Pass,-9.99,entertainment
2024-02-14,Chiropractor,-70.00,health
2024-02-15,Burger King,-9.25,food
2024-02-16,Lyft,-12.00,transport
2024-02-17,Concert,-60.00,entertainment
2024-02-18,Kroger,-78.90,food
2024-02-19,Oil Change,-80.00,transport
2024-02-20,Electricity,-110.00,utilities
2024-02-21,Theater,-30.00,entertainment
2024-02-22,Pharmacy Pickup,-15.00,health
2024-02-23,Dunkin Donuts,-6.00,food
2024-02-24,Gas,-38.50,transport
2024-02-25,Apple TV,-4.99,entertainment
2024-02-26,Physical Therapy,-120.00,health
2024-02-27,Italian Restaurant,-45.00,food
2024-02-28,Toll,-5.00,transport
2024-03-01,Sushi Place,-28.50,food
2024-03-02,Bus Fare,-2.50,transport
2024-03-03,Paramount+,-9.99,entertainment
2024-03-04,Blood Test,-50.00,health
2024-03-05,Walmart,-65.40,food
2024-03-06,DoorDash,-22.30,food
2024-03-07,Car Rental,-150.00,transport
2024-03-08,Peacock,-4.99,entertainment
2024-03-09,Dermatologist,-90.00,health
2024-03-10,Sam's Club,-95.20,food
2024-03-11,Diesel,-55.00,transport
2024-03-12,Gas Bill,-35.00,utilities
2024-03-13,Xbox Game Pass,-14.99,entertainment
2024-03-14,Massage,-60.00,health
2024-03-15,Taco Bell,-11.75,food
2024-03-16,Rideshare,-16.50,transport
2024-03-17,Sports Event,-85.00,entertainment
2024-03-18,Publix,-112.30,food
2024-03-19,Tire Rotation,-40.00,transport
2024-03-20,Heating Bill,-80.00,utilities
2024-03-21,Museum,-25.00,entertainment
2024-03-22,Vaccination,-25.00,health
2024-03-23,Cafe,-7.50,food
2024-03-24,Highway Toll,-8.00,transport
2024-03-25,Hulu,-11.99,entertainment
2024-03-26,Acupuncture,-75.00,health
2024-03-27,Steakhouse,-55.00,food
2024-03-28,Parking Garage,-12.00,transport
